iid,id,gender,age_o
132,1,0,26
132,1,0,32
132,1,0,37
132,1,0,29
132,1,0,28
133,2,0,26
133,2,0,32
133,2,0,37
133,2,0,29
133,2,0,28
134,3,0,26
134,3,0,32
134,3,0,37
134,3,0,29
134,3,0,28
135,5,0,26
135,5,0,32
135,5,0,37
135,5,0,29
135,5,0,28
136,6,0,26
136,6,0,32
136,6,0,37
136,6,0,29
136,6,0,28
137,1,1,27
137,1,1,24
137,1,1,23
137,1,1,26
137,1,1,
138,2,1,27
138,2,1,24
138,2,1,23
138,2,1,26
138,2,1,
139,4,1,27
139,4,1,24
139,4,1,23
139,4,1,26
139,4,1,
140,6,1,27
140,6,1,24
140,6,1,23
140,6,1,26
140,6,1,
141,10,1,27
141,10,1,24
141,10,1,23
141,10,1,26
141,10,1,
142,1,0,23
142,1,0,28
142,1,0,29
142,1,0,22
142,1,0,27
142,1,0,26
142,1,0,27
142,1,0,30
142,1,0,26
142,1,0,23
142,1,0,23
142,1,0,28
142,1,0,28
142,1,0,29
142,1,0,27
142,1,0,22
143,2,0,23
143,2,0,28
143,2,0,29
143,2,0,22
143,2,0,27
143,2,0,26
143,2,0,27
143,2,0,30
143,2,0,26
143,2,0,23
143,2,0,23
143,2,0,28
143,2,0,28
143,2,0,29
143,2,0,27
143,2,0,22
144,3,0,23
144,3,0,28
144,3,0,29
144,3,0,22
144,3,0,27
144,3,0,26
144,3,0,27
144,3,0,30
144,3,0,26
144,3,0,23
144,3,0,23
144,3,0,28
144,3,0,28
144,3,0,29
144,3,0,27
144,3,0,22
145,4,0,23
145,4,0,28
145,4,0,29
145,4,0,22
145,4,0,27
145,4,0,26
145,4,0,27
145,4,0,30
145,4,0,26
145,4,0,23
145,4,0,23
145,4,0,28
145,4,0,28
145,4,0,29
145,4,0,27
145,4,0,22
146,5,0,23
146,5,0,28
146,5,0,29
146,5,0,22
146,5,0,27
146,5,0,26
146,5,0,27
146,5,0,30
146,5,0,26
146,5,0,23
146,5,0,23
146,5,0,28
146,5,0,28
146,5,0,29
146,5,0,27
146,5,0,22
147,6,0,23
147,6,0,28
147,6,0,29
147,6,0,22
147,6,0,27
147,6,0,26
147,6,0,27
147,6,0,30
147,6,0,26
147,6,0,23
147,6,0,23
147,6,0,28
147,6,0,28
147,6,0,29
147,6,0,27
147,6,0,22
148,7,0,23
148,7,0,28
148,7,0,29
148,7,0,22
148,7,0,27
148,7,0,26
148,7,0,27
148,7,0,30
148,7,0,26
148,7,0,23
148,7,0,23
148,7,0,28
148,7,0,28
148,7,0,29
148,7,0,27
148,7,0,22
149,8,0,23
149,8,0,28
149,8,0,29
149,8,0,22
149,8,0,27
149,8,0,26
149,8,0,27
149,8,0,30
149,8,0,26
149,8,0,23
149,8,0,23
149,8,0,28
149,8,0,28
149,8,0,29
149,8,0,27
149,8,0,22
150,9,0,23
150,9,0,28
150,9,0,29
150,9,0,22
150,9,0,27
150,9,0,26
150,9,0,27
150,9,0,30
150,9,0,26
150,9,0,23
150,9,0,23
150,9,0,28
150,9,0,28
150,9,0,29
150,9,0,27
150,9,0,22
151,10,0,23
151,10,0,28
151,10,0,29
151,10,0,22
151,10,0,27
151,10,0,26
151,10,0,27
151,10,0,30
151,10,0,26
151,10,0,23
151,10,0,23
151,10,0,28
151,10,0,28
151,10,0,29
151,10,0,27
151,10,0,22
152,11,0,23
152,11,0,28
152,11,0,29
152,11,0,22
152,11,0,27
152,11,0,26
152,11,0,27
152,11,0,30
152,11,0,26
152,11,0,23
152,11,0,23
152,11,0,28
152,11,0,28
152,11,0,29
152,11,0,27
152,11,0,22
153,12,0,23
153,12,0,28
153,12,0,29
153,12,0,22
153,12,0,27
153,12,0,26
153,12,0,27
153,12,0,30
153,12,0,26
153,12,0,23
153,12,0,23
153,12,0,28
153,12,0,28
153,12,0,29
153,12,0,27
153,12,0,22
154,13,0,23
154,13,0,28
154,13,0,29
154,13,0,22
154,13,0,27
154,13,0,26
154,13,0,27
154,13,0,30
154,13,0,26
154,13,0,23
154,13,0,23
154,13,0,28
154,13,0,28
154,13,0,29
154,13,0,27
154,13,0,22
155,14,0,23
155,14,0,28
155,14,0,29
155,14,0,22
155,14,0,27
155,14,0,26
155,14,0,27
155,14,0,30
155,14,0,26
155,14,0,23
155,14,0,23
155,14,0,28
155,14,0,28
155,14,0,29
155,14,0,27
155,14,0,22
156,15,0,23
156,15,0,28
156,15,0,29
156,15,0,22
156,15,0,27
156,15,0,26
156,15,0,27
156,15,0,30
156,15,0,26
156,15,0,23
156,15,0,23
156,15,0,28
156,15,0,28
156,15,0,29
156,15,0,27
156,15,0,22
157,16,0,23
157,16,0,28
157,16,0,29
157,16,0,22
157,16,0,27
157,16,0,26
157,16,0,27
157,16,0,30
157,16,0,26
157,16,0,23
157,16,0,23
157,16,0,28
157,16,0,28
157,16,0,29
157,16,0,27
157,16,0,22
158,1,1,24
158,1,1,33
158,1,1,23
158,1,1,24
158,1,1,36
158,1,1,26
158,1,1,27
158,1,1,28
158,1,1,31
158,1,1,28
158,1,1,27
158,1,1,28
158,1,1,27
158,1,1,27
158,1,1,30
158,1,1,28
159,2,1,24
159,2,1,33
159,2,1,23
159,2,1,24
159,2,1,36
159,2,1,26
159,2,1,27
159,2,1,28
159,2,1,31
159,2,1,28
159,2,1,27
159,2,1,28
159,2,1,27
159,2,1,27
159,2,1,30
159,2,1,28
160,3,1,24
160,3,1,33
160,3,1,23
160,3,1,24
160,3,1,36
160,3,1,26
160,3,1,27
160,3,1,28
160,3,1,31
160,3,1,28
160,3,1,27
160,3,1,28
160,3,1,27
160,3,1,27
160,3,1,30
160,3,1,28
161,4,1,24
161,4,1,33
161,4,1,23
161,4,1,24
161,4,1,36
161,4,1,26
161,4,1,27
161,4,1,28
161,4,1,31
161,4,1,28
161,4,1,27
161,4,1,28
161,4,1,27
161,4,1,27
161,4,1,30
161,4,1,28
162,5,1,24
162,5,1,33
162,5,1,23
162,5,1,24
162,5,1,36
162,5,1,26
162,5,1,27
162,5,1,28
162,5,1,31
162,5,1,28
162,5,1,27
162,5,1,28
162,5,1,27
162,5,1,27
162,5,1,30
162,5,1,28
163,6,1,24
163,6,1,33
163,6,1,23
163,6,1,24
163,6,1,36
163,6,1,26
163,6,1,27
163,6,1,28
163,6,1,31
163,6,1,28
163,6,1,27
163,6,1,28
163,6,1,27
163,6,1,27
163,6,1,30
163,6,1,28
164,7,1,24
164,7,1,33
164,7,1,23
164,7,1,24
164,7,1,36
164,7,1,26
164,7,1,27
164,7,1,28
164,7,1,31
164,7,1,28
164,7,1,27
164,7,1,28
164,7,1,27
164,7,1,27
164,7,1,30
164,7,1,28
165,8,1,24
165,8,1,33
165,8,1,23
165,8,1,24
165,8,1,36
165,8,1,26
165,8,1,27
165,8,1,28
165,8,1,31
165,8,1,28
165,8,1,27
165,8,1,28
165,8,1,27
165,8,1,27
165,8,1,30
165,8,1,28
166,9,1,24
166,9,1,33
166,9,1,23
166,9,1,24
166,9,1,36
166,9,1,26
166,9,1,27
166,9,1,28
166,9,1,31
166,9,1,28
166,9,1,27
166,9,1,28
166,9,1,27
166,9,1,27
166,9,1,30
166,9,1,28
167,10,1,24
167,10,1,33
167,10,1,23
167,10,1,24
167,10,1,36
167,10,1,26
167,10,1,27
167,10,1,28
167,10,1,31
167,10,1,28
167,10,1,27
167,10,1,28
167,10,1,27
167,10,1,27
167,10,1,30
167,10,1,28
168,11,1,24
168,11,1,33
168,11,1,23
168,11,1,24
168,11,1,36
168,11,1,26
168,11,1,27
168,11,1,28
168,11,1,31
168,11,1,28
168,11,1,27
168,11,1,28
168,11,1,27
168,11,1,27
168,11,1,30
168,11,1,28
169,12,1,24
169,12,1,33
169,12,1,23
169,12,1,24
169,12,1,36
169,12,1,26
169,12,1,27
169,12,1,28
169,12,1,31
169,12,1,28
169,12,1,27
169,12,1,28
169,12,1,27
169,12,1,27
169,12,1,30
169,12,1,28
170,13,1,24
170,13,1,33
170,13,1,23
170,13,1,24
170,13,1,36
170,13,1,26
170,13,1,27
170,13,1,28
170,13,1,31
170,13,1,28
170,13,1,27
170,13,1,28
170,13,1,27
170,13,1,27
170,13,1,30
170,13,1,28
171,14,1,24
171,14,1,33
171,14,1,23
171,14,1,24
171,14,1,36
171,14,1,26
171,14,1,27
171,14,1,28
171,14,1,31
171,14,1,28
171,14,1,27
171,14,1,28
171,14,1,27
171,14,1,27
171,14,1,30
171,14,1,28
172,15,1,24
172,15,1,33
172,15,1,23
172,15,1,24
172,15,1,36
172,15,1,26
172,15,1,27
172,15,1,28
172,15,1,31
172,15,1,28
172,15,1,27
172,15,1,28
172,15,1,27
172,15,1,27
172,15,1,30
172,15,1,28
173,16,1,24
173,16,1,33
173,16,1,23
173,16,1,24
173,16,1,36
173,16,1,26
173,16,1,27
173,16,1,28
173,16,1,31
173,16,1,28
173,16,1,27
173,16,1,28
173,16,1,27
173,16,1,27
173,16,1,30
173,16,1,28
